date,num_rrsig,num_httpsrr,rrsig_perc
2023-07-20,11059,135839,8.141255456827569
2023-07-21,11068,135837,8.148000912858794
2023-07-22,11074,135726,8.159085215802426
2023-07-23,11074,135605,8.166365546993106
2023-07-24,11069,135557,8.165568727546345
2023-07-25,11077,135499,8.174968080945247
2023-07-26,11080,135419,8.182012863778347
2023-07-27,11083,135350,8.18840044329516
2023-07-28,11088,135299,8.195182521674218
2023-07-29,11090,135269,8.198478587111607
2023-07-30,11088,135242,8.198636518241374
2023-07-31,11086,135200,8.199704142011834
2023-08-01,11098,134918,8.225737114395411
2023-08-02,12143,129021,9.411646166127994
2023-08-03,12157,129056,9.419941730721547
2023-08-04,12160,129076,9.420806346648487
2023-08-05,12168,129108,9.424667720048332
2023-08-06,12168,129104,9.424959722394348
2023-08-07,12170,129101,9.426727910705571
2023-08-08,12180,129127,9.432574132443253
2023-08-09,12190,129130,9.440099124912878
2023-08-10,12199,129111,9.448459077847744
2023-08-11,12206,129118,9.453368236806641
2023-08-12,12213,129127,9.458130367777459
2023-08-13,12216,129120,9.46096654275093
2023-08-14,12226,129108,9.469591349877621
2023-08-15,12226,129096,9.470471587036004
2023-08-16,12235,128790,9.499961177110023
2023-08-17,12242,128778,9.506282128935066
2023-08-18,12251,128730,9.516818146508195
2023-08-19,12261,128718,9.525474292639725
2023-08-20,12260,128703,9.525807479235139
2023-08-21,12265,128709,9.529248148925095
2023-08-22,12272,128763,9.530688163525236
2023-08-23,12283,128801,9.536416642727929
2023-08-24,12287,128804,9.539300021738455
2023-08-25,12299,128829,9.546763539265228
2023-08-26,12301,128866,9.545574472708084
2023-08-27,12308,128882,9.549820766282336
2023-08-28,12308,128887,9.549450293668096
2023-08-29,12311,128899,9.550888680284563
2023-08-30,12316,128928,9.552618515760734
2023-08-31,12318,128956,9.552095288315394
2023-09-01,12314,128973,9.547734797205617
2023-09-02,12341,128998,9.56681498937968
2023-09-03,12339,128988,9.566006140106056
2023-09-04,12343,128996,9.568513752364414
2023-09-05,12355,128985,9.578633174400125
2023-09-06,12361,129004,9.581873430281231
2023-09-07,12369,129035,9.585771302359825
2023-09-08,12379,128977,9.597835272955644
2023-09-09,12328,128289,9.609553430145999
2023-09-10,12332,128291,9.612521533077144
2023-09-11,12337,128314,9.61469520083545
2023-09-12,12343,128310,9.619671109032812
2023-09-13,12357,128042,9.6507396010684
2023-09-14,12363,128070,9.653314593581635
2023-09-15,12369,128098,9.655888460397508
2023-09-16,12376,128101,9.661126767160287
2023-09-17,12381,128110,9.664350948403715
2023-09-18,12386,128110,9.66825384435251
2023-09-19,12394,128095,9.675631367344549
2023-09-20,12401,128102,9.680567048133518
2023-09-21,12403,128154,9.678199666026812
2023-09-22,12403,128154,9.678199666026812
2023-09-23,12407,128157,9.681094282793762
2023-09-24,12403,128156,9.67804862823434
2023-09-25,12410,128166,9.682755176879983
2023-09-26,12413,128157,9.685776040325539
2023-09-27,12432,128181,9.698785311395605
2023-09-28,12439,128197,9.703035172429932
2023-09-29,12450,128228,9.709267866612596
2023-09-30,12459,128236,9.715680464144235
2023-10-01,12463,128234,9.718951292169004
2023-10-02,12467,128259,9.720175582220351
2023-10-03,12470,128284,9.720619874653114
2023-10-04,12476,128363,9.71931163964694
2023-10-05,12479,128379,9.720437143146464
2023-10-06,12481,128394,9.720859230182096
2023-10-07,12481,128374,9.722373689376353
2023-10-08,12486,128403,9.724071867479731
2023-10-09,12488,128398,9.726008193274039
2023-10-10,12502,128403,9.736532635530322
2023-10-11,12511,128423,9.742024403728305
2023-10-12,12529,128434,9.755205008019683
