date,num_adbit,num_httpsrr,perc,adbit_perc
2023-06-19,13779,141844,22.34432349836959,9.714193057161388
2023-06-20,13780,141821,22.34070036703896,9.71647358289675
2023-06-21,13787,141764,22.33172130243695,9.725318134364155
2023-06-22,13793,141775,22.333454104377687,9.728795626873568
2023-06-23,13784,141732,22.32668042406389,9.725397228572234
2023-06-24,13783,141710,22.323214820182415,9.726201397219674
2023-06-25,13785,141697,22.32116696334336,9.728505190653296
2023-06-26,13784,141678,22.31817394180936,9.729104024619208
2023-06-27,13792,141793,22.33628959846253,9.726855345468394
2023-06-28,13801,141845,22.344481025818748,9.729634460150164
2023-06-29,13794,141852,22.345583717962857,9.72421960917012
2023-06-30,13784,141834,22.34274822387801,9.718403203745224
2023-07-01,13783,141829,22.341960586632226,9.718040739200022
2023-07-02,13793,141826,22.341488004284745,9.725297195154626
2023-07-03,13786,141777,22.333769159276,9.72372105489607
2023-07-04,13789,141726,22.325735259368944,9.72933688949099
2023-07-05,13789,141717,22.324317512326523,9.729954769011481
2023-07-06,13799,141603,22.30635938312251,9.744850038487884
2023-07-07,13794,141601,22.306044328224196,9.741456628131157
2023-07-08,13795,141603,22.30635938312251,9.742025239578258
2023-07-09,13793,141587,22.303838943935983,9.74171357539887
2023-07-10,13793,141596,22.305256690978403,9.74109438119721
2023-07-11,13794,141577,22.3022636694444,9.743107990704704
2023-07-12,13802,141570,22.30116097730029,9.749240658331567
2023-07-13,13814,141552,22.29832548321545,9.758957838815418
2023-07-14,13816,141520,22.293284604842395,9.762577727529678
2023-07-15,13815,141503,22.290606638206707,9.763043893062338
2023-07-16,13820,141509,22.29155180290165,9.766163282900735
2023-07-17,13834,141563,22.30005828515619,9.772327514958004
2023-07-18,13832,141552,22.29832548321545,9.771674013789985
2023-07-19,13834,141489,22.288401253918494,9.777438528790224
2023-07-20,13842,141466,22.28477812258786,9.784683245444135
2023-07-21,13855,141494,22.289188891164287,9.791934640338106
2023-07-22,13843,141362,22.268395267875427,9.792589238975113
2023-07-23,13851,141257,22.25185488571384,9.80553176125785
2023-07-24,13847,141203,22.243348403459304,9.8064488714829
