date,num_adbit,num_httpsrr,adbit_perc
2023-08-26,19239,240267,8.007341832211665
2023-08-27,19207,240397,7.989700370636905
2023-08-28,19170,241074,7.951915179571418
2023-08-29,19166,241030,7.951707256358129
2023-08-30,19178,241466,7.942319001432914
2023-08-31,19152,241236,7.9391135651395315
2023-09-01,19095,242473,7.875103619784471
2023-09-02,18946,246128,7.697620750178769
2023-09-03,18910,248571,7.607484380720197
2023-09-04,18848,251072,7.5070099413713995
2023-09-05,18805,252385,7.45091823999049
2023-09-06,18796,252922,7.43154015862598
2023-09-07,18812,252935,7.43748393856129
2023-09-08,18814,252807,7.44204076627625
2023-09-09,18772,251988,7.449561090210645
2023-09-10,18755,252438,7.429547057099169
2023-09-11,18752,252622,7.422948120116221
2023-09-12,18746,252836,7.414292268506067
2023-09-13,18771,252841,7.424033285740841
2023-09-14,18768,253168,7.413259179675157
2023-09-15,18766,253442,7.404455457264384
2023-09-16,18777,253542,7.405873583074993
2023-09-17,18762,253660,7.396515020105653
2023-09-18,18895,250268,7.549906500231751
2023-09-19,18869,251258,7.509810632895271
2023-09-20,18848,251678,7.488934273158559
2023-09-21,18886,251989,7.4947715971728925
2023-09-22,18886,251989,7.4947715971728925
2023-09-23,18916,252130,7.5024788799428865
2023-09-24,18907,252416,7.490412652129818
2023-09-25,18893,252918,7.470010042780664
2023-09-26,18874,253257,7.452508716442191
2023-09-27,18865,253354,7.4461030810644395
2023-09-28,18884,253317,7.454691157719379
2023-09-29,18907,253138,7.4690485031879845
2023-09-30,18917,253140,7.472939875167891
2023-10-01,18904,253225,7.465297660183631
2023-10-02,18893,253823,7.443375895801405
2023-10-03,18844,254568,7.4023443637849216
2023-10-04,18839,254821,7.39303275632699
2023-10-05,18804,254883,7.3775026188486486
2023-10-06,18823,253429,7.427326785805887
2023-10-07,18658,257681,7.240735638250395
2023-10-08,18668,257626,7.246163042550053
2023-10-09,18669,257119,7.260840311295548
2023-10-10,18726,256686,7.2952946401439895
2023-10-11,18726,256959,7.287543927241311
2023-10-12,18723,257322,7.2760976519691285
2023-10-13,18712,257488,7.2671347790965015
2023-10-14,18715,257789,7.259813258129711
2023-10-15,18704,258116,7.246354352306715
2023-10-16,18871,255104,7.397375188158555
2023-10-17,18858,255409,7.3834516403102475
2023-10-18,18863,255874,7.371987775233123
2023-10-19,18858,256054,7.36485272637803
2023-10-20,18854,256413,7.352981323099843
2023-10-21,18815,255053,7.376898134897453
2023-10-22,18814,254539,7.3914017105433745
2023-10-23,18825,254528,7.396042871511189
2023-10-24,18821,253565,7.422554374617948
2023-10-25,18795,253510,7.413908721549446
2023-10-26,18794,253410,7.4164397616510795
2023-10-27,18792,253518,7.412491420727522
2023-10-28,18794,253823,7.4043723382041815
2023-10-29,18784,254098,7.3924233956977226
2023-10-30,18745,254552,7.363917784971243
2023-10-31,18684,255086,7.32458857012929
2023-11-01,18335,254907,7.192819341956086
2023-11-02,18331,255793,7.166341533974737
2023-11-03,18310,254949,7.181828522567258
2023-11-04,18083,260302,6.946930872601824
2023-11-05,18080,260312,6.945511539998156
2023-11-06,18062,260500,6.933589251439539
2023-11-07,18161,260350,6.975609756097561
2023-11-08,18230,260670,6.9935167069474815
