date,num_ech,num_httpsrr
2024-05-23,1,254600
2024-05-24,1,255574
2024-05-25,1,255496
2024-05-26,1,255007
2024-05-27,1,254776
2024-05-28,1,254756
2024-05-29,1,254662
2024-05-30,1,254691
2024-05-31,1,254598
2024-06-01,1,254242
2024-06-02,1,253909
2024-06-03,1,253759
2024-06-04,1,253966
2024-06-05,1,253989
2024-06-06,1,253443
2024-06-07,1,252097
2024-06-08,1,252246
2024-06-09,1,255183
2024-06-10,1,255355
2024-06-11,1,254598
2024-06-12,1,254300
2024-06-13,1,254125
2024-06-14,1,254060
2024-06-15,1,253905
2024-06-16,1,248288
2024-06-17,1,248526
2024-06-18,1,247765
2024-06-19,1,247061
2024-06-20,1,246210
2024-06-21,1,245516
2024-06-22,1,245340
2024-06-23,1,245138
2024-06-24,1,244942
2024-06-25,1,245032
2024-06-26,1,244987
2024-06-27,1,245007
2024-06-28,1,245075
2024-06-29,1,245091
2024-06-30,1,245337
2024-07-01,1,245360
2024-07-02,1,244784
2024-07-03,1,244433
2024-07-04,1,244039
2024-07-05,1,243467
2024-07-06,1,246506
2024-07-07,1,249524
2024-07-08,1,248910
2024-07-09,1,248218
2024-07-10,1,248250
2024-07-11,1,248509
2024-07-12,1,248638
2024-07-13,1,248536
2024-07-14,1,247540
2024-07-15,1,241971
2024-07-16,1,241935
2024-07-17,1,241741
2024-07-18,1,241416
2024-07-19,1,241126
2024-07-20,1,240392
2024-07-21,1,240380
2024-07-22,1,240379
2024-07-23,1,240695
2024-07-24,1,240662
2024-07-25,1,240563
2024-07-26,1,240147
2024-07-27,1,239462
2024-07-28,1,240157
2024-07-29,1,240687
2024-07-30,1,240748
2024-07-31,1,240734
2024-08-01,1,241728
2024-08-02,1,240920
2024-08-03,1,247084
2024-08-04,1,247220
2024-08-05,1,247306
2024-08-06,1,246981
2024-08-07,1,246762
2024-08-08,1,246087
2024-08-09,2,245800
2024-08-10,2,245787
2024-08-11,2,245970
2024-08-12,2,246226
2024-08-13,2,246208
2024-08-14,2,246189
2024-08-15,18699,245810
2024-08-16,9291,245594
2024-08-17,18666,245610
2024-08-18,18764,246617
2024-08-19,18488,243504
2024-08-20,1773,240944
2024-08-21,1781,241350
2024-08-22,18245,241346
2024-08-23,18274,241482
2024-08-24,18265,241516
2024-08-25,18229,241134
2024-08-26,18267,241841
2024-08-27,18303,242398
2024-08-28,45724,242773
2024-08-29,45697,242734
2024-08-30,3,243336
2024-08-31,3,243784
2024-09-01,3,243831
2024-09-02,3,244458
2024-09-03,3,244419
2024-09-04,45543,241016
2024-09-05,45537,241034
2024-09-06,92694,244235
2024-09-07,94164,247284
2024-09-08,94148,247274
2024-09-09,94186,247307
2024-09-10,141228,246903
2024-09-11,141231,246894
2024-09-12,188360,247163
2024-09-13,188709,247629
2024-09-14,188728,247687
2024-09-15,188966,247937
2024-09-16,185926,244933
2024-09-17,183898,242881
2024-09-18,183121,242187
2024-09-19,182946,242020
2024-09-20,182476,241684
2024-09-21,182264,241450
2024-09-22,182569,241738
2024-09-23,182464,241612
2024-09-24,182592,241871
2024-09-25,182142,241408
2024-09-26,181884,241174
2024-09-27,181214,240479
2024-09-28,180313,239584
2024-09-29,180937,240196
2024-09-30,181037,240232
